,index,SMILES,atÊýÄ¿,RT,Speed,i-PrOH_proportion,Literature,Column
6435,3333,COC(=O)c1ccc(cc1)C(=O)O[C@H](CCC2(CCN(CC2)C(=O)OC(C)(C)C)CC#N)\C=C\c3ccccc3,1,28.67,1,0.5,10.1002/anie.202110084,AZ
6437,3334,CC#CC[C@]12CCCN1C(=O)CCC2=O,1,55.57,1,0.05,10.1002/anie.202107909,IF3
6440,3335,CC(=O)c1ccccc1C(=O)O[C@H](C(=O)NC2CCCCC2)c3cccc(c3)[N+]([O-])=O,1,62.9,1,0.3,10.1021/jacs.5b09117,IC
6441,3336,COC(=O)c1ccc(cc1)C(=O)O[C@H](CCC2(CC#N)CN(C2)C(=O)OC(C)(C)C)\C=C\c3ccccc3,1,31.52,1,0.4,10.1002/anie.202110084,AZ
6443,3337,COc1ccc(cc1)[C@H]2CO[S](=O)(=O)N2,1,54.1,1,0.2,10.1016/j.isci.2019.07.004,OJH
6445,3338,C[C@H](c1cccc(c1)C(C)=O)c2cn(nn2)[S](=O)(=O)c3ccc(C)cc3,1,67.3,0.4,0.1,10.1038/s41557/019/0346/2,OD3
6448,3339,Clc1cccc(c1)[C@H]2C[S](=O)(=O)c3ccccc23,1,65.1,1,0.2,10.1021/acs.orglett.0c03723,ASH
6450,3340,O=C1OCCC[C@H]1Cc2ccc3ccccc3c2,1,65.3,1,0.1,10.1039/C9OB02536G,OJH
6451,3341,N#CCCCC[C@H](C#N)c1ccc2OCOc2c1,1,61.7,1,0.05,10.1038/s41467/021/22127/x,AD
6453,3342,CC1(C)CN(C(=O)Nc2ccc(F)cc2)[C@](Cc3ccc(cc3)[S](C)(=O)=O)(C1)c4ccccc4,1,51.7,0.7,0.1,10.6023/A18100413,IB
6455,3343,O=C(O[C@H](CCCC#N)\C=C\c1ccccc1)c2ccc3ccccc3c2,1,41.85,1,0.1,10.1021/jacs.1c06535,AZ
6458,3344,CC(=O)C[C@H](c1ccccc1)c2c[nH]c3ccccc23,1,67,0.5,0.05,10.1021/acs.orglett.8b00169,ADH
6460,3345,COc1cccc(NC(=O)N2CC(C)(C)C[C@]2(CC(F)(F)C(F)(F)C(F)(F)C(F)(F)F)c3ccccc3)c1,1,68,0.4,0.1,10.1038/ncomms14841,OD3
6461,3346,Brc1cccc(c1)[C@H]2CO[S](=O)(=O)N2,1,46.2,1,0.2,10.1002/adsc.201801566,OJH
6463,3347,COC(=O)c1ccccc1C(=O)O[C@H](CCCCC#N)\C=C\c2ccccc2,1,35.23,1,0.2,10.1002/anie.202110084,AZ
6466,3348,FC(F)(F)c1cccc(NC(=O)N2CC3(CCCCCC3)C[C@]2(CN4CCOCC4)c5ccccc5)c1,1,68.49,0.4,0.05,10.1016/j.chempr.2017.10.008,IA
6467,3349,COC(=O)c1ccc(cc1)[C@H]2COC(=O)N2,1,53.3,1,0.1,10.1021/acscatal.0c02569,ODH
6469,3350,COC(=O)[C@]1(CC(=C(NC(=O)c2ccccc2)C(=O)O1)c3ccccc3)\C=C\c4ccccc4,1,9.5,1,0.3,10.1039/C6QO00018E,ADH
6472,3351,CCOC(=O)N[C@]1(C(=O)N(C)c2ccc(Cl)cc12)C(=[N+]=[N-])[P](=O)(OC)OC,1,69.2,0.5,0.06,10.1021/acs.orglett.6b02095,IA
6474,3352,Fc1ccc(cc1)[C@H]2C[S](=O)(=O)c3ccccc23,1,69.5,1,0.2,10.1021/acs.orglett.0c03723,ASH
6475,3353,Cc1ccc(cc1)[S](=O)(=O)N2CCC[C@H](CC2=O)c3ccccc3,1,84.6,1,0.05,10.1039/C8OB02231C,ADH
6477,3354,FC(F)(F)c1ccc(cc1)[C@H](CCCCC#N)C#N,1,66.12,0.5,0.1,10.1038/s41467/021/22127/x,AS
6479,3355,Cc1ccc(cc1)C(=O)O[C@H](CCC2(CCN(CC2)C(=O)OC(C)(C)C)CC#N)\C=C\c3ccccc3,1,16.53,1,0.5,10.1021/jacs.1c06535,AZ
6482,3356,CCOC(=O)N[C@]1(C(=O)N(C)c2ccc(Br)cc12)C(=[N+]=[N-])[P](=O)(OC)OC,1,71.082,0.5,0.06,10.1021/acs.orglett.6b02095,IA
6483,3357,CC1(C)CN(C(=O)Nc2ccc(Br)cc2)[C@](Cc3ccc(cc3)[S](C)(=O)=O)(C1)c4ccccc4,1,56.3,0.4,0.05,10.6023/A18100413,IB
6486,3358,COc1ccc(C[C@H](CC(=O)NC(C)(C)c2ccccn2)c3ccc(cc3)C(C)=O)cc1,1,71.3,0.5,0.2,10.1002/anie.201804197,ADH
6487,3359,COc1ccccc1[C@H](CCCCC#N)C#N,1,76.59,0.25,0.2,10.1038/s41467/021/22127/x,OD
6489,3360,CC(C)(C)c1ccc(cc1)C(=O)C[C@H](C#N)c2ccccc2,1,38.37,0.5,0.05,10.1038/s41467/021/22127/x,AS
6491,3361,CCC[C@H]1C[S](=O)(=O)c2ccccc12,1,69.1,0.3,0.05,10.1039/C8SC05397A,ADH
6494,3362,CC(=O)C[C@H](c1ccccc1)c2cn(c3cc(Cl)ccc23)[S](=O)(=O)C(F)(F)F,1,73.3,0.5,0.02,10.1021/acs.orglett.8b00169,OD
6495,3363,CCOC(=O)[C@]1(CC(=C(NC(=O)c2ccccc2)C(=O)O1)c3ccccc3)c4ccc(Br)cc4,1,13.5,1,0.5,10.1039/C6QO00018E,ADH
6497,3364,COC(=O)[C@H]1COc2cc(ccc2O1)C(C)=O,1,62.1,1,0.02,10.1021/acs.orglett.8b01469,ODH
6500,3365,CO[P](=O)(OC)C1=NNC(C#N)(C#N)[C@]12C(=O)Nc3ccc(I)cc23,1,74.417,0.5,0.2,10.1021/acs.orglett.5b00311,IA
6501,3366,O=[S]1(=O)[C@H](Cc2ccccc12)c3ccccc3,1,54.6,1,0.2,10.1039/C8SC05397A,ASH
6503,3367,COC(=O)c1ccc(cc1)C(=O)O[C@H](CC(C)CCC#N)\C=C\c2ccccc2,1,62.81,0.3,0.3,10.1002/anie.202110084,AZ
6506,3368,CO[P](=O)(OC)C1=NNC(C#N)(C#N)[C@]12C(=O)Nc3ccc(Br)cc23,1,75.41,0.5,0.2,10.1021/acs.orglett.5b00311,IA
6508,3369,CO[P](=O)(OC)C1=NNC(C#N)(C#N)[C@]12C(=O)Nc3ccc(F)cc23,1,75.587,0.5,0.2,10.1021/acs.orglett.5b00311,IA
6510,3370,CCOC(=O)N[C@]1(C(=O)N(C)c2ccc(I)cc12)C(=[N+]=[N-])[P](=O)(OC)OC,1,75.733,0.5,0.06,10.1021/acs.orglett.6b02095,IA
6512,3371,CO[P](=O)(OC)C1=NNC(C#N)(C#N)[C@]12C(=O)Nc3ccc(Cl)cc23,1,75.903,0.5,0.2,10.1021/acs.orglett.5b00311,IA
6513,3372,CC1(COC1)C(=O)O[C@H](CCCCC#N)\C=C\c2ccccc2,1,72.76,0.5,0.01,10.1002/anie.202110084,AD
6516,3373,CCOC(=O)N[C@]1(C(=O)N(C)c2cc(Br)ccc12)C(=[N+]=[N-])[P](=O)(OC)OC,1,76.817,0.5,0.06,10.1021/acs.orglett.6b02095,IA
6518,3374,COc1ccc2NC(=O)[C@]3(c2c1)C(=NNC3(C#N)C#N)[P](=O)(OC)OC,1,77.669,0.5,0.2,10.1021/acs.orglett.5b00311,IA
6519,3375,Cn1c2COC[C@H](CC=O)c2c3cccc(Cl)c13,1,84.2,1,0.1,10.1021/ol0703130,ADH
